epochs,duration
0,39.145713090896606
1,14.283426284790039
2,26.18514847755432
3,26.1958909034729
4,26.368442058563232
5,26.829858779907227
6,25.751914978027344
7,26.047383785247803
8,26.454814672470093
9,20.84567379951477
10,8.385530948638916
11,24.52827262878418
12,26.370582342147827
13,26.692909479141235
14,26.320202589035034
15,27.122487783432007
16,26.88695740699768
17,20.696332693099976
18,8.629110336303711
19,26.1942937374115
20,26.367085695266724
21,26.40175747871399
22,13.151420831680298
23,26.261379718780518
24,26.1421160697937
25,26.46448826789856
26,14.974910974502563
27,12.189011096954346
28,26.127859592437744
29,26.06405258178711
30,26.14985418319702
31,26.942302465438843
32,25.827345609664917
33,26.10239267349243
34,17.1342990398407
35,8.902224779129028
36,18.0159273147583
37,8.58837604522705
38,19.9444260597229
39,25.85902690887451
40,26.060449838638306
41,27.30443286895752
42,13.29044485092163
43,8.579195976257324
