loss,accuracy,val_loss,val_accuracy,lr
0.17702257633209229,0.9355000257492065,0.3769066333770752,0.8589743375778198,0.01
0.15760742127895355,0.9449999928474426,0.5163248777389526,0.8461538553237915,0.01
0.16905391216278076,0.9470000267028809,0.4562325179576874,0.8269230723381042,0.01
0.16004419326782227,0.9505000114440918,0.4413163661956787,0.8589743375778198,0.01
0.12911885976791382,0.953499972820282,0.5767680406570435,0.8381410241127014,0.0019999999
0.12980155646800995,0.9605000019073486,0.48516756296157837,0.8541666865348816,0.0019999999
0.12262914329767227,0.9559999704360962,0.5284894108772278,0.8413461446762085,0.0019999999
0.1274642050266266,0.9549999833106995,0.5294780135154724,0.8429487347602844,0.00039999996
0.1238260269165039,0.9570000171661377,0.5188146233558655,0.8429487347602844,0.00039999996
0.1294865906238556,0.9555000066757202,0.49701088666915894,0.8461538553237915,0.00039999996
0.12228698283433914,0.9589999914169312,0.4941125512123108,0.8461538553237915,7.999999e-05
0.11796503514051437,0.9574999809265137,0.4941299557685852,0.8461538553237915,7.999999e-05
0.11091753095388412,0.9599999785423279,0.49499860405921936,0.8461538553237915,7.999999e-05
0.12525080144405365,0.9570000171661377,0.49537092447280884,0.8461538553237915,1.5999998e-05
0.11403100192546844,0.965499997138977,0.4965479075908661,0.8461538553237915,1.5999998e-05
0.12231436371803284,0.953499972820282,0.49802350997924805,0.8461538553237915,1.5999998e-05
0.11909093707799911,0.9614999890327454,0.49808159470558167,0.8461538553237915,3.1999996e-06
0.12660719454288483,0.953499972820282,0.4980373978614807,0.8461538553237915,3.1999996e-06
